loss,tag,description
15.0235,*CH3,Methyl-radical
15.9949,O,Oxygen
16.0313,CH4,Ammonium
17.0027,*OH,Hydroxyl-radical
20.0062,HF,Hydrofluorine
26.0157,C2H2,Ethyne
27.0109,HCN,Hydrocyanide
28.0062,N2,Dinitrogen
29.0027,*CHO,Formyl-radical
29.998,*NO,Nitrosyl-radical
31.0058,HNO,Nitroxyl
31.0184,CH3O*,Methoxy-radical
31.0422,CH3NH2,Methylamine
31.9721,S,Sulfur
32.0262,CH3OH,Methanol
33.034,H2O+*CH3,Water+Methoxy-radical
41.0266,H3C-CN,Methylcyano
43.0058,HN=C=O,Hydrogen-isocyanate
43.0171,HN3,Ammonia
43.0422,H3C-N=CH2,Secondary-N-methyl-amine
43.0548,*C3H7,Propyl-radical
44.0136,H2NCO*,Carbamoyl-radical
44.0262,CH3CHO,Ethanal
45.0215,HCONH2,Formamide
45.0579,CH3CH2NH2,N-ethyl-amino
45.9924,*NO2,Nitryl-radical
46.995,CH3S*,Methylthio-radical
47.0007,HNO2,Nitrous-acid
47.967,SO,Sulfur-monoxide
48.0034,CH3SH,Methanethiol
49.9923,CH3Cl,Chloromethane
49.9968,CF2,Difluorocarbene
54.047,C4H6,Butadiene
55.9898,C2O2,Ethenedione
56.0262,CH3CH=C=O,Propylene-aldehyd
56.0626,C4H8,Butene
57.0215,H3C-N==C==O,N-Methyl-carbamate-derived
57.0579,C3H7N,N-ethyl-amino-derived
59.0735,C3H7NH2,Propylamine-derived
63.9441,S2,Disulfur
63.9619,SO2,Sulfur-dioxide
65.9776,H2+SO2,Sulfonamide-derived
68.0374,C3H4N2,Imidazole-derived
69.0327,C2H3N3,Triazole-derived
70.0351,C3H6N2,Pyrazoline-derived
71.0735,C4H9N,Pyrrolidinophenone-derived
73.0528,C3H7NO,N-Dimethyl-phenylurea-herbicides-derived
73.0891,C4H11N,N-tert-Butyl-derived
74.0368,HCOOCH2CH3,Ethyl-ester-derived
74.0732,C4H9OH,N-tert-Butanol-derivates
77.0841,C3H7NH2+H2O,Propylamine+water
78.047,C6H6,Phenyl-derivatives
79.9806,H2NSO2*,Sulfuramidous-acid-radical
80.9641,HSO3*,Sulfonic-acid-derived
82.0783,C6H10,Cyclohexane-derivatives
87.0684,C4H9NO,Morpholine-derived
87.1048,C5H13N,Phenothiazines-derived
91.0997,C4H9NH2+H2O,tert-Butylamine+water
93.0579,C6H7N,N-Aniline-derivates
98.019,C5H6S,Methyl-thiophene
100.1,C5H12N2,Phenothiazine-derived
103.0422,C6H5CN,Benzonitrile
104.0626,C6H5-CH=CH2,Ethylbenzene-derived
112.008,C6H5Cl,Chlorobenzene-derived
115.0997,C6H13NO,1-(iso-propylamino)-3-phenoxypropan-2-ol-derived
119.0371,C6H5-N=C=O,Phenyl-isocyanate
121.0328,FC6H4-CN,Fluorobenzonitrile
122.0732,CH3OC6H4CH3,Methoxytoluene
126.0082,C2H7O4P,Dimethyl-phosphate
128.0626,C10H8,Naphthoyl-derived
128.1313,C7H16N2,Phenothiazines-derived
136.0289,C4H9O3P,Aryl-diethylphosphate-derived
137.0032,ClC6H4CN,Chlorobenzonitrile
137.0841,C8H11NO,1-(2-Methoxyphenyl)methanamine
141.9854,C2H7O3PS,Dimethyl-phosphorothioate-pesticide-derived
152.0061,C4H9O2PS,Diethyl-phosphorothioate-pesticide-derived
154.0395,C4H11O4P,Aliphatic-diethyl-phosphate-substituents
155.0041,HN=C6H4=SO2,Sulfonamide-antibiotic-derived
157.9625,C2H7O2PS2,Dimethyl-phosphorodithioate-pesticide-derived
164.0637,C10H9FO,Butyrophenone-derived
183.0756,C6H9N5O2,Sulfonylurea-herbicide-derived
185.9938,C4H11O2PS2,Aliphatic-diethyl-phosphorodithioate-derived
187.9796,C8H6Cl2O,Imidazole-fungicide-derived
198.0753,C7H10N4O3,Sulfonylurea-herbicide-derived
